省份	province	城市	City	邮编/postalcode	区号
北京	Beijing	北京	Beijing	100000	010
北京	Beijing	北京	Beijing	101100	010
北京	Beijing	北京	Beijing	102200	010
北京	Beijing	北京	Beijing	102600	010
北京	Beijing	北京	Beijing	101500	010
北京	Beijing	北京	Beijing	102100	010
北京	Beijing	北京	Beijing	101300	010
北京	Beijing	北京	Beijing	101400	010
北京	Beijing	北京	Beijing	101200	010
上海	Shanghai	上海	Shanghai	200000	021
上海	Shanghai	上海	Shanghai	201800	021
上海	Shanghai	上海	Shanghai	201600	021
上海	Shanghai	上海	Shanghai	201300	021
上海	Shanghai	上海	Shanghai	201400	021
上海	Shanghai	上海	Shanghai	201200	021
上海	Shanghai	上海	Shanghai	201700	021
上海	Shanghai	上海	Shanghai	202100	021
上海	Shanghai	上海	Shanghai	201500	021
天津	Tianjing	天津	Tianjin	300000	022
天津	Tianjing	天津	Tianjin	301900	022
天津	Tianjing	天津	Tianjin	301800	022
天津	Tianjing	天津	Tianjin	301700	022
天津	Tianjing	天津	Tianjin	301600	022
天津	Tianjing	天津	Tianjin	301500	022
重庆	Chongqing	重庆	Chongqing	404000	023
重庆	Chongqing	重庆	Chongqing	402160	023
重庆	Chongqing	重庆	Chongqing	400700	023
重庆	Chongqing	重庆	Chongqing	401320	023
重庆	Chongqing	重庆	Chongqing	400020	023
重庆	Chongqing	重庆	Chongqing	400000	023
重庆	Chongqing	重庆	Chongqing	408000	023
重庆	Chongqing	重庆	Chongqing	409100	023
重庆	Chongqing	重庆	Chongqing	408200	023
重庆	Chongqing	重庆	Chongqing	408400	023
重庆	Chongqing	重庆	Chongqing	405900	023
重庆	Chongqing	重庆	Chongqing	405800	023
重庆	Chongqing	重庆	Chongqing	404600	023
重庆	Chongqing	重庆	Chongqing	404500	023
重庆	Chongqing	重庆	Chongqing	404300	023
重庆	Chongqing	重庆	Chongqing	405200	023
重庆	Chongqing	重庆	Chongqing	405400	023
重庆	Chongqing	重庆	Chongqing	402360	023
重庆	Chongqing	重庆	Chongqing	402460	023
重庆	Chongqing	重庆	Chongqing	402760	023
重庆	Chongqing	重庆	Chongqing	402560	023
重庆	Chongqing	重庆	Chongqing	402660	023
重庆	Chongqing	重庆	Chongqing	401520	023
重庆	Chongqing	重庆	Chongqing	405560	023
重庆	Chongqing	重庆	Chongqing	400900	023
重庆	Chongqing	重庆	Chongqing	400800	023
重庆	Chongqing	重庆	Chongqing	401220	023
重庆	Chongqing	重庆	Chongqing	401420	023
重庆	Chongqing	重庆	Chongqing	409700	023
重庆	Chongqing	重庆	Chongqing	408500	023
重庆	Chongqing	重庆	Chongqing	408300	023
重庆	Chongqing	重庆	Chongqing	404700	023
西藏	Xizang	拉萨	Lasa	850000	0891
西藏	Xizang	日喀则	Rikaze	857000	0892
西藏	Xizang	林芝	Linzhi	850400	0894
西藏	Xizang	昌都	Changdu	854000	0895
西藏	Xizang	堆龙德庆	Duilongdeqing	851400	0891
西藏	Xizang	曲水	Qushui	850600	0891
西藏	Xizang	尼木	Nimu	851300	0891
西藏	Xizang	仁布	Renbu	857200	0892
西藏	Xizang	扎囊	Zhanang	850800	0893
西藏	Xizang	贡嘎	Gongga	850700	0893
