url路径	接口名称	wiki地址
/ws/auth/user-device/	用户与圈子>用户管理>设备信息登记	http://docs.dev.myamap.com/docs/account/user/device
/ws/auth/check-username/	用户与圈子>用户管理>检查用户名	http://docs.dev.myamap.com/docs/account/user/check-username
/ws/auth/user-register/	用户与圈子>用户管理>用户注册	http://docs.dev.myamap.com/docs/account/user/user-register
/ws/auth/user-login/	用户与圈子>用户管理>用户登录	http://docs.dev.myamap.com/docs/account/user/user-login
/ws/auth/user-logout/	用户与圈子>用户管理>注销登录	http://docs.dev.myamap.com/docs/account/user/user-logout
/ws/auth/change-password/	用户与圈子>用户管理>修改密码	http://docs.dev.myamap.com/docs/account/user/change-password
/ws/auth/user-profile/	用户与圈子>用户管理>获取用户基本信息	http://docs.dev.myamap.com/docs/account/user/user-profile
/ws/auth/update-profile/	用户与圈子>用户管理>修改用户基本信息	http://docs.dev.myamap.com/docs/account/user/update-profile
/ws/auth/request-verifycode/	用户与圈子>用户管理>获取验证码	http://docs.dev.myamap.com/docs/account/user/request-verifycode
/ws/auth/verify-reset-password/	用户与圈子>用户管理>重置密码[复合接口]	http://docs.dev.myamap.com/docs/account/user/verify-reset-password
/ws/auth/mobile-verify/	用户与圈子>用户管理>手机号快速登录绑定	http://docs.dev.myamap.com/docs/account/user/mobile-verify
/ws/auth/bind-mobile/	用户与圈子>用户管理>绑定/重新绑定手机号	http://docs.dev.myamap.com/docs/account/user/bind-mobile
/ws/auth/bind-email/	用户与圈子>用户管理>绑定邮箱地址	http://docs.dev.myamap.com/docs/account/user/bind-email
/ws/auth/verify-taxi-mobile/	用户与圈子>用户管理>验证打车手机号	http://docs.dev.myamap.com/docs/account/user/verify-taxi
/ws/auth/search-user/	用户与圈子>用户管理>搜索用户	http://docs.dev.myamap.com/docs/account/user/search-user
/ws/auth/user-cancel/	用户与圈子>用户管理>删除账户	http://docs.dev.myamap.com/docs/account/user/user-canceled
/ws/valueadded/ordercenter/order/add/	用户增值服务>订单中心>添加订单	http://docs.dev.myamap.com/docs/accountvalueadded/ordercenter/order_add
/ws/valueadded/ordercenter/order/list/	用户增值服务>订单中心>订单列表	http://docs.dev.myamap.com/docs/accountvalueadded/ordercenter/order_list
/ws/valueadded/ordercenter/order/info/	用户增值服务>订单中心>订单详情	http://docs.dev.myamap.com/docs/accountvalueadded/ordercenter/order_info
/ws/valueadded/ordercenter/order/cancel/	用户增值服务>订单中心>取消订单	http://docs.dev.myamap.com/docs/accountvalueadded/ordercenter/order_cancel
/ws/valueadded/taxi/city/	用户增值服务>出租车>支持城市	http://docs.dev.myamap.com/docs/accountvalueadded/taxi/city
/ws/valueadded/taxi/order/add/	用户增值服务>出租车>添加订单	http://docs.dev.myamap.com/docs/accountvalueadded/taxi/order_add
/ws/valueadded/taxi/order/status/	用户增值服务>出租车>获取订单状态	http://docs.dev.myamap.com/docs/accountvalueadded/taxi/order_status
/ws/valueadded/taxi/order/cancel/	用户增值服务>出租车>取消订单	http://docs.dev.myamap.com/docs/accountvalueadded/taxi/order_cancel
/ws/valueadded/taxi/order/complain/	用户增值服务>出租车>投诉订单	http://docs.dev.myamap.com/docs/accountvalueadded/taxi/order_complain
/ws/valueadded/taxi/order/history/	用户增值服务>出租车>获取历史订单	http://docs.dev.myamap.com/docs/accountvalueadded/taxi/order_history
/ws/valueadded/taxi/order/pay/	用户增值服务>出租车>订单支付	http://docs.dev.myamap.com/docs/accountvalueadded/taxi/order_pay
/ws/valueadded/dining/xiaomishu	用户增值服务>小秘书订餐	http://docs.dev.myamap.com/docs/accountvalueadded/dining/xiaomishu
/ws/valueadded/dining/booking	用户增值服务>餐厅预订	http://docs.dev.myamap.com/docs/accountvalueadded/dining/booking
/ws/valueadded/hotel/ctrip	用户增值服务>携程酒店预订	http://docs.dev.myamap.com/docs/accountvalueadded/hotel/ctrip
/ws/valueadded/hotel/ctrip_avail	增值服务>携程酒店可预订检查	http://docs.dev.myamap.com/docs/accountvalueadded/hotel/ctrip_avail
/ws/valueadded/sendmessage/getinfo/	用户增值服务>短信转发>获取短信	http://docs.dev.myamap.com/docs/accountvalueadded/forward_agent/query-verifycode
/ws/valueadded/sendmessage/flush/	用户增值服务>短信转发>刷新验证码	http://docs.dev.myamap.com/docs/accountvalueadded/forward_agent/flush
/ws/valueadded/sendmessage/send/	用户增值服务>短信转发>信息发送	http://docs.dev.myamap.com/docs/accountvalueadded/forward_agent/sendmessage
/ws/valueadded/activity/submit	用户增值服务>活动报名	http://docs.dev.myamap.com/docs/accountvalueadded/activity/activity_submit
/ws/valueadded/activity/wabao/submit	用户增值服务>活动>挖宝结果上报	http://docs.dev.myamap.com/docs/accountvalueadded/activity/wabao_submit
/ws/valueadded/mobile-bind-alipay/	用户增值服务>手机号绑定支付宝账号	http://docs.dev.myamap.com/docs/accountvalueadded/activity/mobile-bind-alipay
/ws/valueadded/telecom/checkin/action/	用户增值服务>电信签到送流量>用户签到	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/checkin/checkin
/ws/valueadded/telecom/checkin/exchange/	用户增值服务>电信签到送流量>兑换流量	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/checkin/exchange
/ws/valueadded/telecom/checkin/query/	用户增值服务>电信签到送流量>查询签到信息	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/checkin/query
/ws/valueadded/telecom/checkin/validate-code/	用户增值服务>电信签到送流量>校验签到验证码	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/checkin/check_code
/ws/valueadded/telecom/click/register/	用户增值服务>电信送流量(四期)>验证手机号	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/click/register
/ws/valueadded/telecom/click/action/	用户增值服务>电信送流量(四期)>点一点	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/click/action
/ws/valueadded/telecom/click/exchange/	用户增值服务>电信送流量(四期)>兑换流量	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/click/exchange
/ws/valueadded/telecom/click/query/	用户增值服务>电信送流量(四期)>查询签到信息	http://docs.dev.myamap.com/docs/accountvalueadded/telecom/click/query
/ws/valueadded/promo/user_promotion_flag	用户增值服务>促销	http://docs.dev.myamap.com/docs/accountvalueadded/promo/user_promotion_flag
/ws/mapapi/map/slice/	地图基础服务>取图服务>静态取图	http://docs.dev.myamap.com/docs/maps/map/slice
/ws/mapapi/map/packages/	地图基础服务>取图服务>离线地图列表	http://docs.dev.myamap.com/docs/maps/map/packages
/ws/mapapi/intersection/list/	地图基础服务>取图服务>路口放大图列表	http://docs.dev.myamap.com/docs/maps/map/intersection
/ws/mapapi/map/file-config/	增值服务>文件接口>文件配置	http://docs.dev.myamap.com/docs/maps/map/file-config
/ws/mapapi/poi/info/	地图基础服务>POI搜索>基本信息查询	http://docs.dev.myamap.com/docs/maps/poi/info
/ws/mapapi/poi/deepinfo/	地图基础服务>POI搜索>深度信息查询	http://docs.dev.myamap.com/docs/maps/poi/deepinfo
/ws/mapapi/poi/bus/	地图基础服务>POI搜索>公交线路查询	http://docs.dev.myamap.com/docs/maps/poi/bus
/ws/mapapi/poi/tips/	地图基础服务>POI搜索>输入提示	http://docs.dev.myamap.com/docs/maps/poi/tips
/ws/mapapi/poi/codepoint/	地图基础服务>POI搜索>码点服务	http://docs.dev.myamap.com/docs/maps/poi/codepoint
/ws/mapapi/poi/config/category/	地图基础服务>POI搜索>POI分类列表	http://docs.dev.myamap.com/docs/maps/poi/category
/ws/mapapi/poi/recommend/	地图基础服务>POI搜索>周边POI推荐	http://docs.dev.myamap.com/docs/maps/poi/recommend
/ws/mapapi/poi/hotelcondition/	地图基础服务>POI搜索>酒店筛选条件	http://docs.dev.myamap.com/docs/maps/poi/hotelcondition
/ws/mapapi/poidetail/mps/	地图基础服务>POI搜索>POI查询接口（兼容MPS）	http://docs.dev.myamap.com/docs/maps/poi/poidetail_mps
/ws/mapapi/recommend/slayer/	地图基础服务>推荐服务>图面推荐	http://docs.dev.myamap.com/docs/maps/recommend/slayer
/ws/mapapi/recommend/inside/	地图基础服务>推荐服务>室内推荐	http://docs.dev.myamap.com/docs/maps/recommend/inside
/ws/mapapi/recommend/insidecodepoint/	地图基础服务>推荐服务>室内地图码点	http://docs.dev.myamap.com/docs/maps/recommend/insidecodepoint
/ws/mapapi/realtimebus/linestation/	地图基础服务>实时公交>到站查询	http://docs.dev.myamap.com/docs/maps/realtimebus/arrival
/ws/mapapi/realtimebus/checkcity/	地图基础服务>实时公交>指定城市是否支持实时公交	http://docs.dev.myamap.com/docs/maps/realtimebus/check_city
/ws/mapapi/realtimebus/lines/	地图基础服务>实时公交>车次查询	http://docs.dev.myamap.com/docs/maps/realtimebus/lines
/ws/mapapi/realtimebus/lines/ex/	地图基础服务>实时公交>停靠站查询	http://docs.dev.myamap.com/docs/maps/realtimebus/lines_ex
/ws/mapapi/district/info/	地图基础服务>行政区划查询>行政区划列表	http://docs.dev.myamap.com/docs/maps/district/info
/ws/mapapi/district/search/	地图基础服务>行政区划查询>行政区划详情	http://docs.dev.myamap.com/docs/maps/district/search
/ws/mapapi/geo/code/	地图基础服务>(逆)地理编码>地理编码	http://docs.dev.myamap.com/docs/maps/geo/code
/ws/mapapi/geo/reversecode/	地图基础服务>(逆)地理编码>逆地理编码	http://docs.dev.myamap.com/docs/maps/geo/reversecode
/ws/mapapi/navigation/auto/	地图基础服务>网络导航>汽车导航	http://docs.dev.myamap.com/docs/maps/navigation/auto
/ws/transfer/navigation/auto/	地图基础服务>网络导航>汽车导航(for SDK)	http://docs.dev.myamap.com/docs/maps/navigation/trans_auto
/ws/mapapi/navigation/foot/	地图基础服务>网络导航>步行导航	http://docs.dev.myamap.com/docs/maps/navigation/foot
/ws/mapapi/navigation/foot/simple/	地图基础服务>网络导航>步行导航(简)	http://docs.dev.myamap.com/docs/maps/navigation/foot-simple
/ws/mapapi/navigation/bus/	地图基础服务>网络导航>公交换乘	http://docs.dev.myamap.com/docs/maps/navigation/bus
/ws/mapapi/navigation/bus/alterline/	地图基础服务>网络导航>公交聚合线路查询	http://docs.dev.myamap.com/docs/maps/navigation/bus-alterline
/ws/mapapi/navigation/bus/hazard/	地图基础服务>网络导航>公交风险查询	http://docs.dev.myamap.com/docs/maps/navigation/bus-hazard
/ws/mapapi/navigation/auto/eta/	地图基础服务>网络导航>驾车ETA查询	http://docs.dev.myamap.com/docs/maps/navigation/auto-eta
/ws/mapapi/navigation/bus/ext/	地图基础服务>网络导航>跨城公交	http://docs.dev.myamap.com/docs/maps/navigation/bus-ext
/ws/mapapi/navigation/bus/railway/	地图基础服务>网络导航>跨城火车	http://docs.dev.myamap.com/docs/maps/navigation/bus-railway
/ws/mapapi/aps/locate/	地图基础服务>位置定位>位置搜索(接口)	http://docs.dev.myamap.com/docs/maps/aps/locate
/ws/transfer/aps/locate/	地图基础服务>位置定位>位置搜索(forSDK)	http://docs.dev.myamap.com/docs/maps/aps/transfer_locate
/ws/mapapi/traffic/broadcast/region/	地图基础服务>移动交通台>热点交通播报	http://docs.dev.myamap.com/docs/maps/traffic/broadcast/region
/ws/mapapi/traffic/broadcast/circle/	地图基础服务>移动交通台>周边交通播报	http://docs.dev.myamap.com/docs/maps/traffic/broadcast/circle
/ws/mapapi/traffic/broadcast/front/	地图基础服务>移动交通台>前方路况播报	http://docs.dev.myamap.com/docs/maps/traffic/broadcast/front
/ws/mapapi/traffic/config/city/	地图基础服务>移动交通台>城市列表	http://docs.dev.myamap.com/docs/maps/traffic/config/city
/ws/mapapi/traffic/config/region/	地图基础服务>移动交通台>道路/商圈列表	http://docs.dev.myamap.com/docs/maps/traffic/config/region
/ws/transfer/traffic/radar/	地图基础服务>交通信息播报(forSDK)>交通信息播报	http://docs.dev.myamap.com/docs/maps/traffic/transfer/radar
/ws/transfer/traffic/status/	地图基础服务>交通信息播报(forSDK)>交通态势	http://docs.dev.myamap.com/docs/maps/traffic/transfer/status
/ws/mapapi/traffic/tmc/rect/	地图基础服务>移动交通台>矩形范围查询	http://docs.dev.myamap.com/docs/maps/traffic/tmc/rect
/ws/mapapi/traffic/tmc/circle/	地图基础服务>移动交通台>圆形范围查询	http://docs.dev.myamap.com/docs/maps/traffic/tmc/circle
/ws/mapapi/traffic/tmc/lines/	地图基础服务>移动交通台>指定线路查询	http://docs.dev.myamap.com/docs/maps/traffic/tmc/lines
/ws/mapapi/traffic/tmc/locationcode/	地图基础服务>移动交通台>根据LocationCode查询	http://docs.dev.myamap.com/docs/maps/traffic/tmc/locationcode
/ws/mapapi/traffic/tmc/status/	地图基础服务>移动交通台>整体路况查询	http://docs.dev.myamap.com/docs/maps/traffic/tmc/status
/ws/mapapi/traffic/tmc/overalltraffic/	地图基础服务>移动交通台>整体交通概况	http://docs.dev.myamap.com/docs/maps/traffic/tmc/overalltraffic
/ws/mapapi/traffic/tmc/citylist/	地图基础服务>移动交通台>城市列表	http://docs.dev.myamap.com/docs/maps/traffic/tmc/citylist
/ws/mapapi/traffic/tmc/roadlist/	地图基础服务>移动交通台>道路列表	http://docs.dev.myamap.com/docs/maps/traffic/tmc/roadlist
/ws/mapapi/traffic/vectorboard/conf/	地图基础服务>移动交通台>矢量情报板>配置信息查询	http://docs.dev.myamap.com/docs/maps/traffic/board_vector/conf
/ws/mapapi/traffic/vectorboard/list/	地图基础服务>移动交通台>矢量情报板>列表查询	http://docs.dev.myamap.com/docs/maps/traffic/board_vector/list
/ws/mapapi/traffic/vectorboard/info/	地图基础服务>移动交通台>矢量情报板>获取情报板数据	http://docs.dev.myamap.com/docs/maps/traffic/board_vector/info
/ws/mapapi/voice/dialect/	地图基础服务>导航语音包>方言语音包列表	http://docs.dev.myamap.com/docs/maps/voice/dialect_voice#
/ws/mapapi/shortaddress/transform/	地图基础服务>短地址>长短地址转化	http://docs.dev.myamap.com/docs/maps/shortaddress/transform
/ws/mapapi/theme/list/	地图基础服务>主题频道列表	http://docs.dev.myamap.com/docs/maps/theme/list
/ws/mapapi/appinit/	地图基础服务>应用初始化	http://docs.dev.myamap.com/docs/maps/appinit/appinit
/ws/app/conf/	地图基础服务>应用初始化>系统配置	http://docs.dev.myamap.com/docs/maps/appinit/conf
/ws/discovery/lists	运营服务>发现频道>发现列表	http://docs.dev.myamap.com/docs/oss/discovery/lists
/ws/discovery/content	运营服务>发现频道>详细信息	http://docs.dev.myamap.com/docs/oss/discovery/content
/ws/discovery/favorate	运营服务>发现频道>发现喜欢	http://docs.dev.myamap.com/docs/oss/discovery/favorate
/ws/address/upload	运营服务>门址汇	http://docs.dev.myamap.com/docs/oss/collect_address/upload
/ws/traffic/restrict/date/	运营服务>交通限行	http://docs.dev.myamap.com/docs/oss/traffic_restrict/date
/ws/banner/lists	运营服务>广告banner>列表	http://docs.dev.myamap.com/docs/oss/banner/lists
/ws/nearby/category	运营服务>附近类目>列表	http://docs.dev.myamap.com/docs/oss/nearby_category/lists
/ws/keywords/content	运营服务>搜索关键词>关键词数据	http://docs.dev.myamap.com/docs/oss/search_keywords/content
/ws/group_buy/content	运营服务>团购配置>配置信息	http://docs.dev.myamap.com/docs/oss/group_buy/content
/ws/nearby_v2/category	运营服务>附近类目-V2>列表	http://docs.dev.myamap.com/docs/oss/nearby_v2/lists
/ws/keywords/content	运营服务>搜索关键词>关键词数据	http://docs.dev.myamap.com/docs/oss/search_keywords/content
/ws/group_buy/content	运营服务>团购配置>配置信息	http://docs.dev.myamap.com/docs/oss/group_buy/content
/ws/nearby_v2/category	运营服务>附近类目-V2>列表	http://docs.dev.myamap.com/docs/oss/nearby_v2/lists
/ws/appinit/content	运营服务>初始化	http://docs.dev.myamap.com/docs/oss/appinit/lists
/ws/h5_log	运营服务>日志记录	http://docs.dev.myamap.com/docs/oss/log_record/lists
/ws/shop/lists	运营服务>积分商城>商品列表	http://docs.dev.myamap.com/docs/oss/shop/lists
/ws/shop/content	运营服务>积分商城>商品详情	http://docs.dev.myamap.com/docs/oss/shop/content
/ws/shop/exchange	运营服务>积分商城>商品兑换	http://docs.dev.myamap.com/docs/oss/shop/exchange
/ws/shop/order	运营服务>积分商城>提交订单	http://docs.dev.myamap.com/docs/oss/shop/order
/path/to/upload/	文件服务>文件上传	http://docs.dev.myamap.com/docs/files/upload
/path/to/file	文件服务>文件下载	http://docs.dev.myamap.com/docs/files/download
/clusterservice/messagehandle	图层服务>主题频道相关图层	http://docs.dev.myamap.com/docs/layers/layerlist
/clusterservice/layer/point.action	图层服务>心情列表页	http://docs.dev.myamap.com/docs/layers/msglist
/clusterservice/messagehandle	图层服务>交通互助	http://docs.dev.myamap.com/docs/layers/trafficlist
/polling/{uuid}	推送服务>客户端>轮循接口	http://docs.dev.myamap.com/docs/messages/polling_message
/collector/client/behavior/	日志服务>客户端上报>行为日志	http://docs.dev.myamap.com/docs/logs/behavior
/collector/client/basestation/	日志服务>客户端上报>基站日志	http://docs.dev.myamap.com/docs/logs/basestation
/collector/client/crash/	日志服务>客户端上报>崩溃日志	http://docs.dev.myamap.com/docs/logs/crash
/ws/valueadded/deepinfo/mapping	增值服务>行业深度数据>ID映射	http://docs.dev.myamap.com/docs/valueadded/deepinfo/mapping?t=deepinfo
/ws/valueadded/deepinfo/search	增值服务>行业深度数据>信息查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/search?t=deepinfo
/ws/valueadded/deepinfo/poi_list	增值服务>行业深度数据>POI批量查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/poi-list?t=deepinfo
/ws/valueadded/hotel/search	增值服务>酒店>房型查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/hotel-search?t=deepinfo
/ws/valueadded/groupbuy/search	增值服务>团购>团购查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/groupbuy-search?t=deepinfo
/ws/valueadded/hotel/hotel_avail	增值服务>深度信息>房型可预订状态查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/hotel-avail?t=deepinfo
/ws/valueadded/deepinfo/pic_list	增值服务>深度信息>图片列表	http://docs.dev.myamap.com/docs/valueadded/deepinfo/pic-list?t=deepinfo
/ws/valueadded/deepinfo/review_list	增值服务>行业深度数据>评论列表	http://docs.dev.myamap.com/docs/valueadded/deepinfo/review-list?t=deepinfo
/ws/valueadded/cinema/movie_info	增值服务>行业深度数据>电影详情查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/cinema/movie-info?t=deepinfo
/ws/valueadded/cinema/movie_tickets	增值服务>行业深度数据>电影排期查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/cinema/movie-tickets?t=deepinfo
/ws/valueadded/cinema/cinema_info	增值服务>行业深度数据>影院信息查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/cinema/cinema-info?t=deepinfo
